Team Coh_Trust,Team Coh_Conflict,Team Coh_Commit,Team Coh_Account,Team Coh_Result,Job Sat_Work,Job Sat_Comp,JobSat_Promo,JobSat_Super,JobSat_Team,Team Cohesion,Job Satisfaction
4.641588834,3.634241186,3.419951893,3.684031499,2.714417617,2.620741394,1.44224957,2.5198421,2.289428485,5,3.566318134,2.555683094
3.419951893,2.5198421,3.914867641,2.5198421,2.289428485,2.5198421,3.174802104,4,4,4,2.869737438,3.482202253
4.641588834,4,4.641588834,4.30886938,4.217163327,5,1.25992105,3.634241186,3.684031499,5,4.35467166,3.349685893
5,3.684031499,5,4.641588834,4.641588834,5,4.30886938,4.30886938,5,4.641588834,4.565825774,4.641588834
4.30886938,2.080083823,5,4.641588834,3.174802104,4.641588834,4,4.641588834,5,4.641588834,3.664034035,4.573050519
4.641588834,3.174802104,5,5,3.634241186,3.174802104,4.30886938,4.641588834,5,5,4.220339767,4.366538893
5,4.641588834,5,4.641588834,4.30886938,3.634241186,3.174802104,4.30886938,3.174802104,3.634241186,4.711154362,3.56225355
5,5,5,5,5,5,5,5,5,5,5,5
4.30886938,4.30886938,5,5,4.641588834,4.641588834,4.30886938,4.641588834,4.641588834,4.641588834,4.641588834,4.573050519
5,5,5,5,5,5,5,5,5,5,5,5
5,3.914867641,4.641588834,4.641588834,4.641588834,4.641588834,4.641588834,4.641588834,3.301927249,5,4.553416926,4.400960807
4.30886938,4,4.30886938,3.419951893,3.914867641,4.217163327,2.714417617,4.641588834,5,4.30886938,3.97653442,4.090151713
5,3.419951893,5,4.641588834,4,4.30886938,4.641588834,4.641588834,5,3.174802104,4.366538893,4.302062002
5,2.924017738,5,5,5,5,5,5,5,5,4.491299369,5
2.5198421,2,3.914867641,2.714417617,3.174802104,3.914867641,4.30886938,3.914867641,2.289428485,3.634241186,2.793204585,3.531731385
3.174802104,2.5198421,3.301927249,3.301927249,4.30886938,3.419951893,2.289428485,3.634241186,3.634241186,2.620741394,3.273389336,3.066194836
2.714417617,4,3.634241186,3.914867641,3.914867641,3.107232506,3,2.289428485,4,4,3.600119476,3.211207831
3.107232506,3.634241186,4.641588834,3.914867641,2.884499141,3.107232506,2.5198421,4.641588834,5,5,3.584662992,3.905447022
2,2.5198421,3.174802104,3.174802104,4,2,1.587401052,1.817120593,2.884499141,2,2.828427125,2.015766224
4.30886938,2.714417617,3.301927249,1.25992105,1.709975947,1,1,1.25992105,1,1.25992105,2.421186064,1.09682498
2.289428485,3.301927249,2.884499141,2.15443469,1.587401052,2.884499141,1.44224957,1.817120593,1.817120593,2.620741394,2.368737844,2.047672511
4.30886938,3.419951893,5,4.641588834,4.641588834,4.30886938,3.556893304,4.217163327,4.641588834,4.30886938,4.366538893,4.190799822
3.174802104,3.174802104,4.641588834,5,4.30886938,4.641588834,2.5198421,3.684031499,3.419951893,3.174802104,3.987371164,3.419951893
5,3.684031499,5,4.217163327,4.30886938,4.641588834,4,4.30886938,4,4.30886938,4.412954186,4.245244045
4.30886938,3.634241186,5,5,5,5,4,3.634241186,5,5,4.553416926,4.48618057
4.641588834,4.641588834,5,5,5,5,5,5,5,5,4.853428871,5
4,3.107232506,4.641588834,4.30886938,4.217163327,4.30886938,2.5198421,2,4.641588834,3.634241186,4.018804056,3.256637451
5,4.641588834,5,4.641588834,4.641588834,5,4.641588834,4.641588834,5,5,4.781762499,4.853428871
